Internal ID,Name,Description,Acc Group
1,1001,A. ПОСЛОВНИ ПРИХОДИ (1002 + 1009 + 1016 + 1017),"60 до 65, осим 62 и 63"
5,1002,I. ПРИХОДИ ОД ПРОДАЈЕ РОБЕ (1003 + 1004 + 1005 + 1006 + 1007 + 1008),60
19,1003,1. Приходи од продаје робе матичним и зависним правним лицима на домаћем тржишту,600
20,1004,2. Приходи од продаје робе матичним и зависним правним лицима на иностраном тржишту,601
21,1005,3. Приходи од продаје робе осталим повезаним правним лицима на домаћем тржишту,602
22,1006,4. Приходи од продаје робе осталим повезаним правним лицима на иностраном тржишту,603
2,1007,5. Приходи од продаје робе на домаћем тржишту,604
23,1008,6. Приходи од продаје робе на иностраном тржишту,605
6,1009,II. ПРИХОДИ ОД ПРОДАЈЕ ПРОИЗВОДА И УСЛУГА (1010 + 1011 + 1012 + 1013 + 1014 + 1015),61
24,1010,1. Приходи од продаје производа и услуга матичним и зависним правним лицима на домаћем тржишту,610
25,1011,2. Prihodi od prodaje proizvoda i usluga matičnim i zavisnim pravnim licima na inostranom tržištu,611
26,1012,3. Приходи од продаје производа и услуга осталим повезаним правним лицима на домаћем тржишту,612
27,1013,4. Приходи од продаје производа и услуга осталим повезаним правним лицима на иностраном тржишту,613
4,1014,5. Приходи од продаје производа и услуга на домаћем тржишту,614
28,1015,6. Приходи од продаје готових производа и услуга на иностраном тржишту,615
29,1016,"III. ПРИХОДИ ОД ПРЕМИЈА, СУБВЕНЦИЈА, ДОТАЦИЈА, ДОНАЦИЈА И СЛ.",64
30,1017,IV.  ДРУГИ ПОСЛОВНИ ПРИХОДИ,65
7,1018,Б. ПОСЛОВНИ РАСХОДИ (1019 - 1020 - 1021 + 1022 + 1023 + 1024 + 1025 + 1026 + 1027 + 1028 + 1029) ≥ 0,"50 до 55, 62 и 63"
3,1019,I. НАБАВНА ВРЕДНОСТ ПРОДАТЕ РОБЕ,50
31,1020,II. ПРИХОДИ ОД АКТИВИРАЊА УЧИНАКА И РОБЕ,62
32,1021,III.  ПОВЕЋАЊЕ ВРЕДНОСТИ ЗАЛИХА НЕДОВРШЕНИХ И ГОТОВИХ ПРОИЗВОДА И НЕДОВРШЕНИХ УСЛУГА,630
33,1022,IV. СМАЊЕЊЕ ВРЕДНОСТИ ЗАЛИХА НЕДОВРШЕНИХ И ГОТОВИХ ПРОИЗВОДА И НЕДОВРШЕНИХ УСЛУГА,631
34,1023,V. ТРОШКОВИ МАТЕРИЈАЛА,51 осим 513
35,1024,VI. ТРОШКОВИ ГОРИВА И ЕНЕРГИЈЕ,513
36,1025,"VII. ТРОШКОВИ ЗАРАДА, НАКНАДА ЗАРАДА И ОСТАЛИ ЛИЧНИ РАСХОДИ",52
37,1026,VIII. ТРОШКОВИ ПРОИЗВОДНИХ УСЛУГА,53
38,1027,IX. ТРОШКОВИ АМОРТИЗАЦИЈЕ,540
39,1028,X. ТРОШКОВИ ДУГОРОЧНИХ РЕЗЕРВИСАЊА,541 до 549
40,1029,XI. НЕМАТЕРИЈАЛНИ ТРОШКОВИ,55
8,1030,В. ПОСЛОВНИ ДОБИТАК (1001 - 1018) ≥ 0,
9,1031,Г. ПОСЛОВНИ ГУБИТАК (1018 - 1001) ≥ 0,
11,1032,Д. ФИНАНСИЈСКИ ПРИХОДИ  (1033 + 1038 + 1039),66
10,1033,I. ФИНАНСИЈСКИ ПРИХОДИ ОД ПОВЕЗАНИХ ЛИЦА И ОСТАЛИ ФИНАНСИЈСКИ ПРИХОДИ (1034 + 1035 + 1036 + 1037),"66, осим 662,663 и 664"
41,1034,1.Финансијски приходи од матичних и зависних правних лица,660
42,1035,2. Финансијски приходи од осталих повезаних правних лица,661
43,1036,3. Приходи од учешћа у добитку придружених правних лица и заједничких подухвата,665
44,1037,4. Остали финансијски приходи,669
45,1038,II. ПРИХОДИ ОД КАМАТА (ОД ТРЕЋИХ ЛИЦА),662
46,1039,III. ПОЗИТИВНЕ КУРСНЕ РАЗЛИКЕ И ПОЗИТИВНИ ЕФЕКТИ ВАЛУТНЕ КЛАУЗУЛЕ (ПРЕМА ТРЕЋИМ ЛИЦИМА),663 и 664
13,1040,Ђ. ФИНАНСИЈСКИ РАСХОДИ (1041 + 1046 + 1047),56
12,1041,I. ФИНАНСИЈСКИ РАСХОДИ ИЗ ОДНОСА СА ПОВЕЗАНИМ ПРАВНИМ ЛИЦИМА И ОСТАЛИ ФИНАНСИЈСКИ РАСХОДИ (1042 + 1043 + 1044 + 1045),"56, осим 562, 563 и 564"
47,1042,1. Финансијски расходи из односа са матичним и зависним правним лицима,560
48,1043,2. Финансијски расходи из односа са осталим повезаним правним лицима,561
49,1044,3. Расходи од учешћа у губитку придружених правних лица и заједничких подухвата,565
50,1045,4. Остали финансијски расходи,566 и 569
51,1046,II. РАСХОДИ КАМАТА (ПРЕМА ТРЕЋИМ ЛИЦИМА),562
52,1047,III. НЕГАТИВНЕ КУРСНЕ РАЗЛИКЕ И НЕГАТИВНИ ЕФЕКТИ ВАЛУТНЕ КЛАУЗУЛЕ (ПРЕМА ТРЕЋИМ ЛИЦИМА),563 и 564
14,1048,Е. ДОБИТАК ИЗ ФИНАНСИРАЊА (1032 - 1040),
15,1049,Ж. ГУБИТАК ИЗ ФИНАНСИРАЊА (1040 - 1032),
53,1050,З. ПРИХОДИ ОД УСКЛАЂИВАЊА ВРЕДНОСТИ ОСТАЛЕ ИМОВИНЕ КОЈА СЕ ИСКАЗУЈЕ ПО ФЕР ВРЕДНОСТИ КРОЗ БИЛАНС УСПЕХА,683 и 685
54,1051,И. РАСХОДИ ОД УСКЛАЂИВАЊА ВРЕДНОСТИ ОСТАЛЕ ИМОВИНЕ КОЈА СЕ ИСКАЗУЈЕ ПО ФЕР ВРЕДНОСТИ КРОЗ БИЛАНС УСПЕХА,583 и 585
55,1052,Ј. ОСТАЛИ ПРИХОДИ,"67 и 68, осим 683 и 685"
56,1053,К. ОСТАЛИ РАСХОДИ,"57 и 58, осим 583 и 585"
16,1054,Л. ДОБИТАК ИЗ РЕДОВНОГ ПОСЛОВАЊА ПРЕ ОПОРЕЗИВАЊА (1030 - 1031 + 1048 - 1049 + 1050 - 1051 + 1052 - 1053),
57,1055,Љ. ГУБИТАК ИЗ РЕДОВНОГ ПОСЛОВАЊА ПРЕ ОПОРЕЗИВАЊА (1031 - 1030 + 1049 - 1048 + 1051 - 1050 + 1053 - 1052),
58,1056,"М. НЕТО ДОБИТАК ПОСЛОВАЊА КОЈЕ СЕ ОБУСТАВЉА, ЕФЕКТИ ПРОМЕНЕ РАЧУНОВОДСТВЕНЕ ПОЛИТИКЕ И ИСПРАВКА ГРЕШАКА ИЗ РАНИЈИХ ПЕРИОДА)",69 - 59
59,1057,"Н. НЕТО ГУБИТАК ПОСЛОВАЊА КОЈЕ СЕ ОБУСТАВЉА, РАСХОДИ ПРОМЕНЕ РАЧУНОВОДСТВЕНЕ ПОЛИТИКЕ И ИСПРАВКА ГРЕШАКА ИЗ РАНИЈИХ ПЕРИОДА",59 - 69
17,1058,Њ. ДОБИТАК ПРЕ ОПОРЕЗИВАЊА (1054 - 1055 + 1056 - 1057),
18,1059,О. ГУБИТАК ПРЕ ОПОРЕЗИВАЊА (1055 - 1054 + 1057 - 1056),
60,1060,I. ПОРЕСКИ РАСХОД ПЕРИОДА,721
61,1061,II. ОДЛОЖЕНИ ПОРЕСКИ РАСХОДИ ПЕРИОДА,722 (део)
62,1062,III. ОДЛОЖЕНИ ПОРЕСКИ ПРИХОДИ ПЕРИОДА,722 (део)
63,1063,Р. ИСПЛАЋЕНА ЛИЧНА ПРИМАЊА ПОСЛОДАВЦА,723 (део)
64,1064,С. НЕТО ДОБИТАК (1058 - 1059 - 1060 - 1061 + 1062 - 1063),
65,1065,Т. НЕТО ГУБИТАК (1059 - 1058 + 1060 + 1061 - 1062 + 1063),
66,1066,I. НЕТО ДОБИТАК КОЈИ ПРИПАДА МАЊИНСКИМ УЛАГАЧИМА,
67,1067,II. НЕТО ДОБИТАК КОЈИ ПРИПАДА ВЕЋИНСКОМ ВЛАСНИКУ,
68,1068,III. НЕТО ГУБИТАК КОЈИ ПРИПАДА МАЊИНСКИМ УЛАГАЧИМА,
69,1069,IV. НЕТО ГУБИТАК КОЈИ ПРИПАДА ВЕЋИНСКОМ ВЛАСНИКУ,
70,1070,1. Основна зарада по акцији,
71,1071,2. Умањена (разводњена) зарада по акцији,
